geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1049,-23.547011236746005,-46.63916570493306
1050,-23.549229163580517,-46.64303023455156
1101,-23.528286860378213,-46.631957535031056
1102,-23.525571406955734,-46.63028748439394
1103,-23.53546844605214,-46.63029077338347
1104,-23.534952165368537,-46.62957039061347
1105,-23.53409398177586,-46.62907768017333
1106,-23.53022077513783,-46.6282212595308
1107,-23.52608789203137,-46.629589887186604
1108,-23.527232171325497,-46.630354418199865
1109,-23.524624899587646,-46.627103243360565
1120,-23.530162529753113,-46.6395114116631
1121,-23.52786665899882,-46.635256920492864
1122,-23.531130596538613,-46.638324826141904
1123,-23.5291645437106,-46.63658239267475
1124,-23.528221233825747,-46.63309540109692
1125,-23.527288449571635,-46.64016432350875
1126,-23.527066549337565,-46.6391527868084
1127,-23.525480803366627,-46.64159548852642
1128,-23.523786738657147,-46.642209664552546
1129,-23.524051385464382,-46.645073040129965
1130,-23.524830820867123,-46.64492992157745
1131,-23.522379737671034,-46.64310784736644
1132,-23.521539879304328,-46.64873923331726
1133,-23.52042428170985,-46.65332230946677
1134,-23.518899939878278,-46.65269033643668
1135,-23.526190426729194,-46.650970041202214
1136,-23.523986920181724,-46.66135135045781
1137,-23.522851480322114,-46.65280923153936
1138,-23.52245582393925,-46.65525390366422
1139,-23.520724956071753,-46.665938971441705
1140,-23.520438443709033,-46.6692371684404
1141,-23.520310325905555,-46.66643901391753
1142,-23.519934305152642,-46.6251300217966
1144,-23.52357274929584,-46.67242459028444
1150,-23.532953023597276,-46.658245942661374
1151,-23.53164158468372,-46.65628875324909
1152,-23.529884845741275,-46.65527643333265
1153,-23.529930846298743,-46.65354908690434
1154,-23.530535897249937,-46.65929570388057
1155,-23.529072884025155,-46.66331995168207
1156,-23.52892113830292,-46.66643724514501
1189,-23.532108255063783,-46.63839470107914
1200,-23.53156777324141,-46.649869077846425
1201,-23.536082809674177,-46.6495393904693
1202,-23.533742576459318,-46.64828045105448
1203,-23.53596465666131,-46.64529955632679
1204,-23.53599263946852,-46.644089822607214
1205,-23.536490774893963,-46.642641966809634
1206,-23.535863685117462,-46.64281871336397
1207,-23.539175560135188,-46.63865415001012
1208,-23.53866049566226,-46.63898204602016
1209,-23.540695255566053,-46.641582935722816
1210,-23.540039340558916,-46.64209131081345
1211,-23.53757657410565,-46.64883790118901
1212,-23.538268511790665,-46.63942263256764
1213,-23.53650149461516,-46.64036116340708
1214,-23.538842493961866,-46.64523045306012
1215,-23.536167399914945,-46.64754185786534
1216,-23.533127593964494,-46.64783380745067
1217,-23.532657557836473,-46.648883992986285
1218,-23.531249798864053,-46.64832514105406
1219,-23.541288814286368,-46.64569860301067
1220,-23.54451401110975,-46.64603990221943
1221,-23.544867697472093,-46.64828171537102
1222,-23.54594454397298,-46.64936937401519
1223,-23.544088116558573,-46.64858211715019
1224,-23.54177865147578,-46.65242233963952
1225,-23.539786021213725,-46.64913883151014
1226,-23.53801010890567,-46.65271926812754
1227,-23.546201912968794,-46.658384582734
1228,-23.54518937928602,-46.657610856988505
1229,-23.53890160984344,-46.657291130376805
1230,-23.53631040591802,-46.65711200863415
1231,-23.53695040742613,-46.659255892784934
1232,-23.536428003530187,-46.657426011378035
1233,-23.53624654014997,-46.66166521796583
1234,-23.539689562251557,-46.66424403546398
1235,-23.53671427686228,-46.66466630391698
1236,-23.543550224431343,-46.66741941090643
1237,-23.543234451012324,-46.66872440228904
1238,-23.54257139685113,-46.65424333104065
1239,-23.54309527008478,-46.63105919621764
1240,-23.54379184344285,-46.65854396252987
1241,-23.54552478660238,-46.657840193083345
1242,-23.546506947085877,-46.65850174642453
1243,-23.54812030499438,-46.65919184884557
1244,-23.562049127976646,-46.65959031403357
1245,-23.549475523846695,-46.663821074182955
1246,-23.55348129524968,-46.666318477031005
1247,-23.55063807285042,-46.66865580450114
1248,-23.54791252484105,-46.6680263133255
1249,-23.548419892449086,-46.67122044555848
1250,-23.547640483076,-46.67197263354334
1251,-23.548374516404742,-46.67484647170288
1252,-23.54175397547087,-46.67893404000763
1253,-23.54492912635292,-46.679164692087
1254,-23.543337420255035,-46.68085240293401
1255,-23.54636983531918,-46.68154172682528
1256,-23.547773256174622,-46.682838349154586
1257,-23.54360983905433,-46.68783857511076
1258,-23.54403701732507,-46.68685091247139
